IE.Germanic.Dutch,IE.Germanic.German
dans3,tants3n
kin3,kEn3n
arm,7arm
neem3,neem3n
vol,vol3
fEn,fain
zixErxeer3,zixErgan
tas,taS3
val3,fal3n
tant3,tant3
snee,Snee
blEiv3,blaib3n
kam,kam
Eiz3r,7aiz3n
vra,frau
iNaan,hiinaiNee3n
mElk3,mElk3n
hondErt,hundErt
bEix3,boig3n
vraax3,fraag3n
heev3l,hiig3l
vEid3,viiz3
veer3lt,vElt
xeev3,g3b3n
axteerEit,rikvErts
vExaan,vEgee3n
hEf3,heeb3n
lip,lip3
viix,viig3
zixvas3,zixvaS3n
repareer3,reepaariir3n
lEid3,lait3n
ruup,ruuf
fris,friS
arts,7artst
rE,raih3
vilx,vaid3
sxEin3,Sain3n
vaai3,vee3n
vErf,farb3
vEx,veek
plaat,plat3
keel,keel3
vErv3,fErb3n
hooxt3,heeh3
xEvixt,g3vixt
sfaai3,SvENk3n
lEn,lain3
xraf,graap
mEns,mEnS
tEl3,tsEEl3n
beezit3,beezits3n
lix3,liig3n
ik,7ix
pat,pfaat
vEant,faint
zaat,zaat
trEf3,trEf3n
axtErvaarts,rikvErts
veex3,feeg3n
val,fal3
haN3,hEN3n
zondax,zontaak
pEl,pfail
vaar,voo
vat,vaas
xeezixt,g3zixt
vreexd3,froid3
kid3,hErd3
doot,toot
dr3p3l,tropf3n
bluut,bluut
3il,7oil3
breek3,brEx3n
zoon,zoon
zEt3,zEts3n
kint,kint
knoop,knopf
riim,riim3n
rauv,rooh
spits,Spits
hEteerst,tsuuErst
druv3x,traurix
bEvaak3,beevaX3n
aard3,7Erd3
nees,naaz3
tuubeerEid3,tsuubeerait3n
draai3,dree3n
beedEk3,beedEk3n
fEft3x,finftsix
mES3,mEdx3n
vis3,fiS3n
veet3,vis3n
sleep3,SlEp3n
klEin,klain
vliix,fliig3
streep,Strix
klauv,klau3
zoom3r,zoma
zoo,zoo
zuut,ziis
vastbind3,7anbind3n
rEikdom,raixtuum
hals,hals
leedEr,leeda
spuul3,Spiil3n
vit,vais
sxErp,Sarf
keet3l,kEs3l
vliix3,fliig3n
Eis,7ais
saam3,tsuuzam3n
t3r3x,tsuurik
zixbEveex3,zixbeeveeg3n
dat,daas
veek,vaix
zuuk3,zuuX3n
r3is3,rauS3n
xeezElsxap,g3zElSaft
vErp3,vErf3n
leeraar,leera
spin,Spin3
ni,noi
sleed3,Slit3n
brEi,brai
plaats,plats
haar,haaa
sfak,SvaX
steek3,StEk3n
vii,feea
vlEt3x,flaisix
vErvaxt3,7Ervart3n
rant,rant
vorst,frost
xans,gans
zEx3,zaag3n
veer,viida
hoop,hauf3n
bruud3r,bruuda
april,7apriil
liif,liip
sfEm3,Svim3n
vEns,vunS
zi3,zee3n
stomp,Stumpf
aadEm,7aateem
lENt3,lEN3
naabEi,naah
reexEnboox,reegEnboog3n
vis,fiS
kuukuuk,kukuk
famili,faamiilii
man,man
tE3,tsee
xEsprEk,g3sprEx
viN3r,fiNa
hauv3,hau3n
alEs,7alees
slEit3,Sliis3n
vraxt,last
vaarhE3,voohiin
vol,fol
opstaan,7aufStee3n
bEvaar3,beevaar3n
slik3,Sluk3n
kort,kurts
hEil3,vain3n
blaf3,bEl3n
tfee,tsvai
bEt,bEt
volf,volf
leevEnt,leebEndix
staan,Stee3n
steen3,Steen3n
reex3,reeg3n
rook,rauX
kant,kant3
kooniN,keenix
brand3,fEabrEn3n
huuveel,viifiil
stoor3,Steer3n
l3st,lust
xeeborEnvord3,g3booreenvErd3n
morx3,morg3n
bE3,bain
arbEid3r,7arbaita
zEd3,zait3
voort,vort
xlas,glaas
vEi,vaid3
staN,StaN3
do3,tuun
toN,tsuN3
sxiit3,Siis3n
maak3,maX3n
vuul3,fiil3n
volk,folk
teek3n3,tsaixn3n
vEi,viiz3
deel,tail
vint3r,vinta
aantal,7antsaal
stul,Stuul
bron,brun3n
vlixt3,flii3n
traan,trEEn3
voon3,voon3n
brand3,brEn3n
ha3,halt3n
zeev3,ziib3n
tal,7antsaal
xroot3,grees3
zixEruur3,zixriir3n
vErtEl3,7ErtsEEl3n
d3n,din
steek3,StEx3n
Eind3,7End3
vankeel3,SvaNk3n
binENaan,hiinaiNee3n
vErzink3,fEaziNk3n
krEip3,kriix3n
spits,Spits3
vooxEl,foog3l
maandax,montaak
yaar,yaaa
pak3,pak3n
vErkoop3,fEakauf3n
sfaar,Sva
vaN3,faN3n
nEst,nEst
vrEiv3,raib3n
kraxt,kraft
haas,haaz3
febriaari,fEbruuaaa
braad3,braat3n
bluum,bluum3
vriint,froint
slEip3,Slaif3n
stik,Stik
tint3x,tsvantsix
xElt,g3lt
morx3,morg3n
vas3,vaS3n
vErstant,fEaStant
oort,7ort
vaxt3,vart3n
ziikzEin,kraNkzain
beezuuk3,beezuuX3n
aankoom3,7aNkom3n
afsnEid3,7abSnaid3n
drink3,triNk3n
zist3r,SvEsta
xeelov3,glaub3n
beexin3,beegin3n
aavont,7aabEnt
xlat,glat
laax3,laX3n
praal3,praal3n
lEk3r,lEka
veek,voX3
brEN3,briN3n
bont,bunt
vaardeevol,vErtfol
stEx3,Staig3n
v3l,fEl
xrEns,grEnts3
hol,heel3
omruur3,7umriir3n
kam3,kEm3n
xlanz3,glEnts3n
vooraf,forha
taxt3x,7aXtsix
oovEral,7iibeeral
kin,kin
sfErm,Svarm
vast3lant,fEstlant
veer,feeda
zon,zon3
stEm,Stim3
neevEl,neeb3l
slee,Slit3n
dEks3l,dEk3l
krEis,kroits
knii,knii
reexEn3,rEgn3n
naavEl,naab3l
soort,7art
Eleeboox,7ElEnboog3n
hErkEn3,7ErkEn3n
aadEr,7aada
eensklaps,plEtslix
baad3,baad3n
stof,Stof
buuk,buuX
xEsxEnk,g3SENk
affeex3,7abviS3n
vEf,finf
ruup3,ruuf3n
tant,tsaan
Elf,7Elf
beedErv3,fEadErb3n
kist,kist3
zak,zak
dondErdax,donErstaak
beelt,bilt
naam,naam3
eens,7ainst
ruur3,riir3n
aanrEik3,raix3n
baars,barS
kor3l,korn
xeezondhEit,g3zundhait
Eil3,7ail3n
veexEns,veeg3n
nit,nuts3n
root,root
sxaap,Saaf
tuneem3,tsuuneem3n
sfaan,Svaan
beekEnt,beekant
leer3,leer3n
tfeed3,tsvaita
slaap3,Slaaf3n
dorp,dorf
3itEnd3,7End3
voorEit,forvErts
omdraai3,7umdree3n
omkoom3,7umkom3n
bauv3,bau3n
vErbrand3,fEabrEn3n
dit,diis
hiirhE3,hiirhiin
diinsdax,diinstaak
x3l3k,glik
maax,maag3n
arm,7arm
vEk3,vEk3n
oop3,7of3n
leez3,leez3n
sxaadE,Saad3n
dErd3,drita
nox,noX
hant,hant
haan,haan
lant,lant
sxreed3,Srit
daarnaa,daanaX
lat3,las3n
sfart,Svarts
naai3,nEE3n
naaxEl,naag3l
xiit3,Sit3n
blauv,blau
dEnk3,dENk3n
heet,hais
zixheerineerEnaan,zixeerinErnaan
ondErxaan,7untErgee3n
vaarhEit,vaarhait
arbEit,7arbait
raats3l,rEts3l
